Algorytm;Funkcja testowa;Liczba szukanych parametrów;Prawdopobieñstwo mutacji;Prawdopobieñstwo crossover;Liczba iteracji;Rozmiar populacji;Znalezione minimum;Œrednia wartoœæ znalezionych parametrów;Odchylenie standardowe znalezionych parametrów;Wartoœæ funkcji celu;Odchylenie standardowe funkcji celu
GA;Rosenbrock;2;0,1;0,9;40;20;(0,9603655969671141, 0,9255388349744114);(0,49305481428275755, 0,7473007923497696);(0,5329145632900211, 0,24972681837197816);0,0026185442850808704;0,7666184161929468
GA;Rosenbrock;2;0,1;0,9;60;20;(1,0869397679870965, 1,1814481603149953);(0,4594412281050298, 0,5859187126118248);(0,3939489346036713, 0,21889204721087233);0,007558533460838248;0,6722454149633171
GA;Rosenbrock;2;0,1;0,9;80;20;(0,9800519532179036, 0,9600478262688539);(0,7823226329255796, 0,8193921198628805);(0,21976016489243683, 0,5843155898679302);0,00041853660057651973;0,25701705119332774
GA;Rosenbrock;2;0,1;0,9;100;20;(1,0188282791402123, 1,037564054199891);(0,3208283970758782, 0,7401687786044625);(0,6715562196943334, 0,48249420166400586);0,0003744857263152933;1,1018813755511334
GA;Rosenbrock;2;0,1;0,9;1000;20;(0,9636766741170664, 0,9284014297379131);(0,9663512461479045, 1,01138553788645);(0,08169717688678009, 0,34622482943377375);0,0013267445078168104;0,0788052861352223
GA;Rosenbrock;2;0,1;0,9;5;40;(0,9930899203770223, 0,9869881685710076);(0,8627869320689804, 0,9041850990692465);(0,17161944073360882, 0,31186945770277014);0,00010559718359381943;0,23204585763828472
GA;Rosenbrock;2;0,1;0,9;10;40;(1,0350240245837985, 1,0708588721809875);(0,964061248193518, 1,0921531089335734);(0,16995278557652843, 0,6031394232321444);0,0012439761925099756;0,1744544024059588
GA;Rosenbrock;2;0,1;0,9;20;40;(0,9977501198169405, 0,9954939573601587);(0,9062107643210112, 0,9826006885311653);(0,17062302845054933, 0,5013394999200372);5,0748300039002E-06;0,17263801534226303
GA;Rosenbrock;2;0,1;0,9;40;40;(1,00266530713018, 1,0052256315132677);(0,7104789577040146, 0,8228756466418659);(0,33566418974957934, 0,48026860995726844);8,360202894173438E-06;0,40570593626997387
GA;Rosenbrock;2;0,1;0,9;60;40;(0,9993458671262189, 0,9986889330911288);(0,8394825381450444, 0,8066571957721989);(0,10839617779902412, 0,29441537041494553);4,289324936782634E-07;0,12948103354535617
